"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/13/2018 01:45:00","MILLWD",61759,21.17,1.64,0.00
"02/13/2018 01:45:00","N.Y.C.",61761,21.30,1.78,0.00
"02/13/2018 01:45:00","NORTH",61755,19.10,-0.43,0.00
"02/13/2018 01:45:00","NPX",61845,21.03,1.50,0.00
"02/13/2018 01:45:00","O H",61846,19.25,-0.27,0.00
"02/13/2018 01:45:00","PJM",61847,20.19,0.66,0.00
"02/13/2018 01:45:00","WEST",61752,19.66,0.14,0.00
"02/13/2018 01:50:00","CAPITL",61757,20.93,1.42,0.00
"02/13/2018 01:50:00","CENTRL",61754,19.96,0.45,0.00
"02/13/2018 01:50:00","DUNWOD",61760,21.13,1.62,0.00
"02/13/2018 01:50:00","GENESE",61753,19.66,0.16,0.00
"02/13/2018 01:50:00","H Q",61844,18.94,-0.57,0.00
"02/13/2018 01:50:00","HUD VL",61758,21.07,1.56,0.00
"02/13/2018 01:50:00","LONGIL",61762,21.83,2.32,0.00
"02/13/2018 01:50:00","MHK VL",61756,20.13,0.62,0.00
"02/13/2018 01:50:00","MILLWD",61759,21.16,1.66,0.00
"02/13/2018 01:50:00","N.Y.C.",61761,21.30,1.79,0.00
"02/13/2018 01:50:00","NORTH",61755,19.06,-0.45,0.00
"02/13/2018 01:50:00","NPX",61845,21.01,1.50,0.00
"02/13/2018 01:50:00","O H",61846,19.22,-0.29,0.00
"02/13/2018 01:50:00","PJM",61847,20.17,0.66,0.00
"02/13/2018 01:50:00","WEST",61752,19.64,0.14,0.00
"02/13/2018 01:55:00","CAPITL",61757,20.89,1.40,0.00
"02/13/2018 01:55:00","CENTRL",61754,19.91,0.43,0.00
"02/13/2018 01:55:00","DUNWOD",61760,21.10,1.62,0.00
"02/13/2018 01:55:00","GENESE",61753,19.66,0.17,0.00
"02/13/2018 01:55:00","H Q",61844,18.92,-0.57,0.00
"02/13/2018 01:55:00","HUD VL",61758,21.05,1.56,0.00
"02/13/2018 01:55:00","LONGIL",61762,21.82,2.34,0.00
"02/13/2018 01:55:00","MHK VL",61756,20.13,0.64,0.00
"02/13/2018 01:55:00","MILLWD",61759,21.14,1.66,0.00
"02/13/2018 01:55:00","N.Y.C.",61761,21.28,1.79,0.00
"02/13/2018 01:55:00","NORTH",61755,19.06,-0.43,0.00
"02/13/2018 01:55:00","NPX",61845,20.97,1.48,0.00
"02/13/2018 01:55:00","O H",61846,19.19,-0.29,0.00
"02/13/2018 01:55:00","PJM",61847,20.13,0.64,0.00
"02/13/2018 01:55:00","WEST",61752,19.62,0.14,0.00
"02/13/2018 02:00:00","CAPITL",61757,20.91,1.44,0.00
"02/13/2018 02:00:00","CENTRL",61754,19.90,0.43,0.00
"02/13/2018 02:00:00","DUNWOD",61760,21.08,1.61,0.00
"02/13/2018 02:00:00","GENESE",61753,19.64,0.17,0.00
"02/13/2018 02:00:00","H Q",61844,18.90,-0.57,0.00
"02/13/2018 02:00:00","HUD VL",61758,21.03,1.56,0.00
"02/13/2018 02:00:00","LONGIL",61762,21.76,2.30,0.00
"02/13/2018 02:00:00","MHK VL",61756,20.09,0.62,0.00
"02/13/2018 02:00:00","MILLWD",61759,21.10,1.64,0.00
"02/13/2018 02:00:00","N.Y.C.",61761,21.24,1.77,0.00
"02/13/2018 02:00:00","NORTH",61755,19.04,-0.43,0.00
"02/13/2018 02:00:00","NPX",61845,20.99,1.52,0.00
"02/13/2018 02:00:00","O H",61846,19.19,-0.27,0.00
"02/13/2018 02:00:00","PJM",61847,20.09,0.62,0.00
"02/13/2018 02:00:00","WEST",61752,19.62,0.16,0.00
"02/13/2018 02:05:00","CAPITL",61757,20.89,1.44,0.00
"02/13/2018 02:05:00","CENTRL",61754,19.89,0.45,0.00
"02/13/2018 02:05:00","DUNWOD",61760,21.04,1.59,0.00
"02/13/2018 02:05:00","GENESE",61753,19.64,0.19,0.00
"02/13/2018 02:05:00","H Q",61844,18.88,-0.56,0.00
"02/13/2018 02:05:00","HUD VL",61758,21.00,1.56,0.00
"02/13/2018 02:05:00","LONGIL",61762,21.72,2.27,0.00
"02/13/2018 02:05:00","MHK VL",61756,20.09,0.64,0.00
"02/13/2018 02:05:00","MILLWD",61759,21.08,1.63,0.00
"02/13/2018 02:05:00","N.Y.C.",61761,21.20,1.75,0.00
"02/13/2018 02:05:00","NORTH",61755,19.02,-0.43,0.00
"02/13/2018 02:05:00","NPX",61845,20.96,1.52,0.00
"02/13/2018 02:05:00","O H",61846,19.19,-0.25,0.00
"02/13/2018 02:05:00","PJM",61847,20.11,0.66,0.00
"02/13/2018 02:05:00","WEST",61752,19.62,0.17,0.00
"02/13/2018 02:10:00","CAPITL",61757,20.89,1.44,0.00
"02/13/2018 02:10:00","CENTRL",61754,19.91,0.47,0.00
"02/13/2018 02:10:00","DUNWOD",61760,21.06,1.61,0.00
"02/13/2018 02:10:00","GENESE",61753,19.64,0.19,0.00
"02/13/2018 02:10:00","H Q",61844,18.88,-0.56,0.00
"02/13/2018 02:10:00","HUD VL",61758,21.00,1.56,0.00
"02/13/2018 02:10:00","LONGIL",61762,21.72,2.27,0.00
"02/13/2018 02:10:00","MHK VL",61756,20.09,0.64,0.00
"02/13/2018 02:10:00","MILLWD",61759,21.08,1.63,0.00
"02/13/2018 02:10:00","N.Y.C.",61761,21.22,1.77,0.00
"02/13/2018 02:10:00","NORTH",61755,19.02,-0.43,0.00
"02/13/2018 02:10:00","NPX",61845,20.98,1.54,0.00
"02/13/2018 02:10:00","O H",61846,19.19,-0.25,0.00
"02/13/2018 02:10:00","PJM",61847,20.13,0.68,0.00
"02/13/2018 02:10:00","WEST",61752,19.62,0.17,0.00
"02/13/2018 02:15:00","CAPITL",61757,20.95,1.44,0.00
"02/13/2018 02:15:00","CENTRL",61754,19.96,0.45,0.00
"02/13/2018 02:15:00","DUNWOD",61760,21.13,1.62,0.00
"02/13/2018 02:15:00","GENESE",61753,19.66,0.16,0.00
"02/13/2018 02:15:00","H Q",61844,18.94,-0.57,0.00
